start,end,resource,detail
1,2,"MEM.E.Read","slice=28 addr=0 stream=W7"
2,3,"MEM.E.Read","slice=24 addr=0 stream=W6"
2,3,"MEM.E.Read","slice=28 addr=1 stream=W7"
3,4,"MEM.E.Read","slice=20 addr=0 stream=W5"
3,4,"MEM.E.Read","slice=24 addr=1 stream=W6"
3,4,"MEM.E.Read","slice=28 addr=2 stream=W7"
4,5,"MEM.E.Read","slice=16 addr=0 stream=W4"
4,5,"MEM.E.Read","slice=20 addr=1 stream=W5"
4,5,"MEM.E.Read","slice=24 addr=2 stream=W6"
4,5,"MEM.E.Read","slice=28 addr=3 stream=W7"
5,6,"MEM.E.Read","slice=12 addr=0 stream=W3"
5,6,"MEM.E.Read","slice=16 addr=1 stream=W4"
5,6,"MEM.E.Read","slice=20 addr=2 stream=W5"
5,6,"MEM.E.Read","slice=24 addr=3 stream=W6"
5,6,"MEM.E.Read","slice=28 addr=4 stream=W7"
6,7,"MEM.E.Read","slice=8 addr=0 stream=W2"
6,7,"MEM.E.Read","slice=12 addr=1 stream=W3"
6,7,"MEM.E.Read","slice=16 addr=2 stream=W4"
6,7,"MEM.E.Read","slice=20 addr=3 stream=W5"
6,7,"MEM.E.Read","slice=24 addr=4 stream=W6"
6,7,"MEM.E.Read","slice=28 addr=5 stream=W7"
7,8,"MEM.E.Read","slice=4 addr=0 stream=W1"
7,8,"MEM.E.Read","slice=8 addr=1 stream=W2"
7,8,"MEM.E.Read","slice=12 addr=2 stream=W3"
7,8,"MEM.E.Read","slice=16 addr=3 stream=W4"
7,8,"MEM.E.Read","slice=20 addr=4 stream=W5"
7,8,"MEM.E.Read","slice=24 addr=5 stream=W6"
7,8,"MEM.E.Read","slice=28 addr=6 stream=W7"
8,9,"MEM.E.Read","slice=0 addr=0 stream=W0"
8,9,"MEM.E.Read","slice=4 addr=1 stream=W1"
8,9,"MEM.E.Read","slice=8 addr=2 stream=W2"
8,9,"MEM.E.Read","slice=12 addr=3 stream=W3"
8,9,"MEM.E.Read","slice=16 addr=4 stream=W4"
8,9,"MEM.E.Read","slice=20 addr=5 stream=W5"
8,9,"MEM.E.Read","slice=24 addr=6 stream=W6"
8,9,"MEM.E.Read","slice=28 addr=7 stream=W7"
9,10,"MEM.E.Read","slice=0 addr=1 stream=W0"
9,10,"MEM.E.Read","slice=4 addr=2 stream=W1"
9,10,"MEM.E.Read","slice=8 addr=3 stream=W2"
9,10,"MEM.E.Read","slice=12 addr=4 stream=W3"
9,10,"MEM.E.Read","slice=16 addr=5 stream=W4"
9,10,"MEM.E.Read","slice=20 addr=6 stream=W5"
9,10,"MEM.E.Read","slice=24 addr=7 stream=W6"
9,10,"MEM.W.Read","slice=28 addr=8 stream=W7"
10,11,"MEM.E.Read","slice=0 addr=2 stream=W0"
10,11,"MEM.E.Read","slice=4 addr=3 stream=W1"
10,11,"MEM.E.Read","slice=8 addr=4 stream=W2"
10,11,"MEM.E.Read","slice=12 addr=5 stream=W3"
10,11,"MEM.E.Read","slice=16 addr=6 stream=W4"
10,11,"MEM.E.Read","slice=20 addr=7 stream=W5"
10,11,"MEM.W.Read","slice=24 addr=8 stream=W6"
10,11,"MEM.W.Read","slice=28 addr=9 stream=W7"
10,11,"VXM.ALU0-7","dequant mul"
11,12,"MEM.E.Read","slice=0 addr=3 stream=W0"
11,12,"MEM.E.Read","slice=4 addr=4 stream=W1"
11,12,"MEM.E.Read","slice=8 addr=5 stream=W2"
11,12,"MEM.E.Read","slice=12 addr=6 stream=W3"
11,12,"MEM.E.Read","slice=16 addr=7 stream=W4"
11,12,"MEM.W.Read","slice=20 addr=8 stream=W5"
11,12,"MEM.W.Read","slice=24 addr=9 stream=W6"
11,12,"MEM.W.Read","slice=28 addr=10 stream=W7"
11,12,"VXM.ALU0-7","dequant mul"
11,12,"VXM.ALU8-15","dequant cast FP16"
12,13,"MEM.E.Read","slice=0 addr=4 stream=W0"
12,13,"MEM.E.Read","slice=4 addr=5 stream=W1"
12,13,"MEM.E.Read","slice=8 addr=6 stream=W2"
12,13,"MEM.E.Read","slice=12 addr=7 stream=W3"
12,13,"MEM.W.Read","slice=16 addr=8 stream=W4"
12,13,"MEM.W.Read","slice=20 addr=9 stream=W5"
12,13,"MEM.W.Read","slice=24 addr=10 stream=W6"
12,13,"MEM.W.Read","slice=28 addr=11 stream=W7"
12,13,"VXM.ALU0-7","dequant mul"
12,13,"VXM.ALU8-15","dequant cast FP16"
13,14,"MEM.E.Read","slice=0 addr=5 stream=W0"
13,14,"MEM.E.Read","slice=4 addr=6 stream=W1"
13,14,"MEM.E.Read","slice=8 addr=7 stream=W2"
13,14,"MEM.W.Read","slice=12 addr=8 stream=W3"
13,14,"MEM.W.Read","slice=16 addr=9 stream=W4"
13,14,"MEM.W.Read","slice=20 addr=10 stream=W5"
13,14,"MEM.W.Read","slice=24 addr=11 stream=W6"
13,14,"MEM.W.Read","slice=28 addr=12 stream=W7"
13,14,"VXM.ALU0-7","dequant mul"
13,14,"VXM.ALU8-15","dequant cast FP16"
14,15,"MEM.E.Read","slice=0 addr=6 stream=W0"
14,15,"MEM.E.Read","slice=4 addr=7 stream=W1"
14,15,"MEM.W.Read","slice=8 addr=8 stream=W2"
14,15,"MEM.W.Read","slice=12 addr=9 stream=W3"
14,15,"MEM.W.Read","slice=16 addr=10 stream=W4"
14,15,"MEM.W.Read","slice=20 addr=11 stream=W5"
14,15,"MEM.W.Read","slice=24 addr=12 stream=W6"
14,15,"MEM.W.Read","slice=28 addr=13 stream=W7"
14,15,"VXM.ALU0-7","dequant mul"
14,15,"VXM.ALU8-15","dequant cast FP16"
15,16,"MEM.E.Read","slice=0 addr=7 stream=W0"
15,16,"MEM.W.Read","slice=4 addr=8 stream=W1"
15,16,"MEM.W.Read","slice=8 addr=9 stream=W2"
15,16,"MEM.W.Read","slice=12 addr=10 stream=W3"
15,16,"MEM.W.Read","slice=16 addr=11 stream=W4"
15,16,"MEM.W.Read","slice=20 addr=12 stream=W5"
15,16,"MEM.W.Read","slice=24 addr=13 stream=W6"
15,16,"MEM.W.Read","slice=28 addr=14 stream=W7"
15,16,"VXM.ALU0-7","dequant mul"
15,16,"VXM.ALU8-15","dequant cast FP16"
16,17,"MEM.W.Read","slice=0 addr=8 stream=W0"
16,17,"MEM.W.Read","slice=4 addr=9 stream=W1"
16,17,"MEM.W.Read","slice=8 addr=10 stream=W2"
16,17,"MEM.W.Read","slice=12 addr=11 stream=W3"
16,17,"MEM.W.Read","slice=16 addr=12 stream=W4"
16,17,"MEM.W.Read","slice=20 addr=13 stream=W5"
16,17,"MEM.W.Read","slice=24 addr=14 stream=W6"
16,17,"MEM.W.Read","slice=28 addr=15 stream=W7"
16,17,"VXM.ALU0-7","dequant mul"
16,17,"VXM.ALU8-15","dequant cast FP16"
17,18,"MEM.W.Read","slice=0 addr=9 stream=W0"
17,18,"MEM.W.Read","slice=4 addr=10 stream=W1"
17,18,"MEM.W.Read","slice=8 addr=11 stream=W2"
17,18,"MEM.W.Read","slice=12 addr=12 stream=W3"
17,18,"MEM.W.Read","slice=16 addr=13 stream=W4"
17,18,"MEM.W.Read","slice=20 addr=14 stream=W5"
17,18,"MEM.W.Read","slice=24 addr=15 stream=W6"
17,18,"VXM.ALU0-7","dequant mul"
17,18,"VXM.ALU8-15","dequant cast FP16"
18,19,"MEM.W.Read","slice=0 addr=10 stream=W0"
18,19,"MEM.W.Read","slice=4 addr=11 stream=W1"
18,19,"MEM.W.Read","slice=8 addr=12 stream=W2"
18,19,"MEM.W.Read","slice=12 addr=13 stream=W3"
18,19,"MEM.W.Read","slice=16 addr=14 stream=W4"
18,19,"MEM.W.Read","slice=20 addr=15 stream=W5"
18,19,"VXM.ALU0-7","dequant mul"
18,19,"VXM.ALU8-15","dequant cast FP16"
19,20,"MEM.W.Read","slice=0 addr=11 stream=W0"
19,20,"MEM.W.Read","slice=4 addr=12 stream=W1"
19,20,"MEM.W.Read","slice=8 addr=13 stream=W2"
19,20,"MEM.W.Read","slice=12 addr=14 stream=W3"
19,20,"MEM.W.Read","slice=16 addr=15 stream=W4"
19,20,"VXM.ALU0-7","dequant mul"
19,20,"VXM.ALU8-15","dequant cast FP16"
20,21,"MEM.W.Read","slice=0 addr=12 stream=W0"
20,21,"MEM.W.Read","slice=4 addr=13 stream=W1"
20,21,"MEM.W.Read","slice=8 addr=14 stream=W2"
20,21,"MEM.W.Read","slice=12 addr=15 stream=W3"
20,21,"VXM.ALU0-7","dequant mul"
20,21,"VXM.ALU8-15","dequant cast FP16"
21,22,"MEM.W.Read","slice=0 addr=13 stream=W0"
21,22,"MEM.W.Read","slice=4 addr=14 stream=W1"
21,22,"MEM.W.Read","slice=8 addr=15 stream=W2"
21,22,"VXM.ALU0-7","dequant mul"
21,22,"VXM.ALU8-15","dequant cast FP16"
22,23,"MEM.W.Read","slice=0 addr=14 stream=W0"
22,23,"MEM.W.Read","slice=4 addr=15 stream=W1"
22,23,"VXM.ALU0-7","dequant mul"
22,23,"VXM.ALU8-15","dequant cast FP16"
23,24,"MEM.W.Read","slice=0 addr=15 stream=W0"
23,24,"VXM.ALU0-7","dequant mul"
23,24,"VXM.ALU8-15","dequant cast FP16"
24,25,"VXM.ALU0-7","dequant mul"
24,25,"VXM.ALU8-15","dequant cast FP16"
25,26,"VXM.ALU0-7","dequant mul"
25,26,"VXM.ALU8-15","dequant cast FP16"
26,27,"MXM.E0.Load","IW buffer=0 column=3"
26,27,"VXM.ALU8-15","dequant cast FP16"
27,28,"MXM.E0.Load","IW buffer=0 column=2"
28,29,"MXM.E0.Load","IW buffer=0 column=1"
29,30,"MXM.E0.Load","IW buffer=0 column=0"
30,31,"MXM.E1.Load","IW buffer=0 column=3"
31,32,"MXM.E1.Load","IW buffer=0 column=2"
32,33,"MXM.E1.Load","IW buffer=0 column=1"
33,34,"MXM.E1.Load","IW buffer=0 column=0"
34,35,"MXM.W0.Load","IW buffer=0 column=3"
35,36,"MEM.E.Read","slice=32 addr=0 stream=E0"
35,36,"MEM.E.Read","slice=33 addr=0 stream=E1"
35,36,"MEM.E.Read","slice=34 addr=0 stream=E2"
35,36,"MEM.E.Read","slice=35 addr=0 stream=E3"
35,36,"MEM.W.Read","slice=32 addr=0 stream=E0"
35,36,"MEM.W.Read","slice=33 addr=0 stream=E1"
35,36,"MEM.W.Read","slice=34 addr=0 stream=E2"
35,36,"MEM.W.Read","slice=35 addr=0 stream=E3"
35,36,"MXM.W0.Load","IW buffer=0 column=2"
36,37,"MXM.W0.Load","IW buffer=0 column=1"
36,67,"MEM.E.Read","slice=32 addr=0 stream=E0 count=31 stride=1"
36,67,"MEM.E.Read","slice=33 addr=0 stream=E1 count=31 stride=1"
36,67,"MEM.E.Read","slice=34 addr=0 stream=E2 count=31 stride=1"
36,67,"MEM.E.Read","slice=35 addr=0 stream=E3 count=31 stride=1"
36,67,"MEM.W.Read","slice=32 addr=0 stream=E0 count=31 stride=1"
36,67,"MEM.W.Read","slice=33 addr=0 stream=E1 count=31 stride=1"
36,67,"MEM.W.Read","slice=34 addr=0 stream=E2 count=31 stride=1"
36,67,"MEM.W.Read","slice=35 addr=0 stream=E3 count=31 stride=1"
37,38,"MXM.W0.Load","IW buffer=0 column=0"
38,39,"MXM.W1.Load","IW buffer=0 column=3"
39,40,"MXM.W1.Load","IW buffer=0 column=2"
40,41,"MXM.W1.Load","IW buffer=0 column=1"
41,42,"MXM.W1.Load","IW buffer=0 column=0"
42,74,"MXM.E0.Compute","Compute buffer=0 act=E0 out=W0 acc=0 stride=1 dst=sram retain"
42,74,"MXM.E1.Compute","Compute buffer=0 act=E2 out=W4 acc=0 stride=1 dst=sram retain"
42,74,"MXM.W0.Compute","Compute buffer=0 act=E0 out=W0 acc=128 stride=1 dst=sram retain"
42,74,"MXM.W1.Compute","Compute buffer=0 act=E2 out=W4 acc=128 stride=1 dst=sram retain"
73,74,"MEM.E.Read","slice=32 addr=32 stream=E0"
73,74,"MEM.E.Read","slice=33 addr=32 stream=E1"
73,74,"MEM.E.Read","slice=34 addr=32 stream=E2"
73,74,"MEM.E.Read","slice=35 addr=32 stream=E3"
73,74,"MEM.W.Read","slice=32 addr=32 stream=E0"
73,74,"MEM.W.Read","slice=33 addr=32 stream=E1"
73,74,"MEM.W.Read","slice=34 addr=32 stream=E2"
73,74,"MEM.W.Read","slice=35 addr=32 stream=E3"
74,80,"MXM.E0.Tail","control + datapath drain"
74,80,"MXM.E1.Tail","control + datapath drain"
74,80,"MXM.W0.Tail","control + datapath drain"
74,80,"MXM.W1.Tail","control + datapath drain"
74,105,"MEM.E.Read","slice=32 addr=32 stream=E0 count=31 stride=1"
74,105,"MEM.E.Read","slice=33 addr=32 stream=E1 count=31 stride=1"
74,105,"MEM.E.Read","slice=34 addr=32 stream=E2 count=31 stride=1"
74,105,"MEM.E.Read","slice=35 addr=32 stream=E3 count=31 stride=1"
74,105,"MEM.W.Read","slice=32 addr=32 stream=E0 count=31 stride=1"
74,105,"MEM.W.Read","slice=33 addr=32 stream=E1 count=31 stride=1"
74,105,"MEM.W.Read","slice=34 addr=32 stream=E2 count=31 stride=1"
74,105,"MEM.W.Read","slice=35 addr=32 stream=E3 count=31 stride=1"
80,112,"MXM.E0.Compute","Compute buffer=0 act=E0 out=W0 acc=32 stride=1 dst=sram retain"
80,112,"MXM.E1.Compute","Compute buffer=0 act=E2 out=W4 acc=32 stride=1 dst=sram retain"
80,112,"MXM.W0.Compute","Compute buffer=0 act=E0 out=W0 acc=160 stride=1 dst=sram retain"
80,112,"MXM.W1.Compute","Compute buffer=0 act=E2 out=W4 acc=160 stride=1 dst=sram retain"
111,112,"MEM.E.Read","slice=32 addr=64 stream=E0"
111,112,"MEM.E.Read","slice=33 addr=64 stream=E1"
111,112,"MEM.E.Read","slice=34 addr=64 stream=E2"
111,112,"MEM.E.Read","slice=35 addr=64 stream=E3"
111,112,"MEM.W.Read","slice=32 addr=64 stream=E0"
111,112,"MEM.W.Read","slice=33 addr=64 stream=E1"
111,112,"MEM.W.Read","slice=34 addr=64 stream=E2"
111,112,"MEM.W.Read","slice=35 addr=64 stream=E3"
112,118,"MXM.E0.Tail","control + datapath drain"
112,118,"MXM.E1.Tail","control + datapath drain"
112,118,"MXM.W0.Tail","control + datapath drain"
112,118,"MXM.W1.Tail","control + datapath drain"
112,143,"MEM.E.Read","slice=32 addr=64 stream=E0 count=31 stride=1"
112,143,"MEM.E.Read","slice=33 addr=64 stream=E1 count=31 stride=1"
112,143,"MEM.E.Read","slice=34 addr=64 stream=E2 count=31 stride=1"
112,143,"MEM.E.Read","slice=35 addr=64 stream=E3 count=31 stride=1"
112,143,"MEM.W.Read","slice=32 addr=64 stream=E0 count=31 stride=1"
112,143,"MEM.W.Read","slice=33 addr=64 stream=E1 count=31 stride=1"
112,143,"MEM.W.Read","slice=34 addr=64 stream=E2 count=31 stride=1"
112,143,"MEM.W.Read","slice=35 addr=64 stream=E3 count=31 stride=1"
118,150,"MXM.E0.Compute","Compute buffer=0 act=E0 out=W0 acc=64 stride=1 dst=sram retain"
118,150,"MXM.E1.Compute","Compute buffer=0 act=E2 out=W4 acc=64 stride=1 dst=sram retain"
118,150,"MXM.W0.Compute","Compute buffer=0 act=E0 out=W0 acc=192 stride=1 dst=sram retain"
118,150,"MXM.W1.Compute","Compute buffer=0 act=E2 out=W4 acc=192 stride=1 dst=sram retain"
149,150,"MEM.E.Read","slice=32 addr=96 stream=E0"
149,150,"MEM.E.Read","slice=33 addr=96 stream=E1"
149,150,"MEM.E.Read","slice=34 addr=96 stream=E2"
149,150,"MEM.E.Read","slice=35 addr=96 stream=E3"
149,150,"MEM.W.Read","slice=32 addr=96 stream=E0"
149,150,"MEM.W.Read","slice=33 addr=96 stream=E1"
149,150,"MEM.W.Read","slice=34 addr=96 stream=E2"
149,150,"MEM.W.Read","slice=35 addr=96 stream=E3"
150,156,"MXM.E0.Tail","control + datapath drain"
150,156,"MXM.E1.Tail","control + datapath drain"
150,156,"MXM.W0.Tail","control + datapath drain"
150,156,"MXM.W1.Tail","control + datapath drain"
150,181,"MEM.E.Read","slice=32 addr=96 stream=E0 count=31 stride=1"
150,181,"MEM.E.Read","slice=33 addr=96 stream=E1 count=31 stride=1"
150,181,"MEM.E.Read","slice=34 addr=96 stream=E2 count=31 stride=1"
150,181,"MEM.E.Read","slice=35 addr=96 stream=E3 count=31 stride=1"
150,181,"MEM.W.Read","slice=32 addr=96 stream=E0 count=31 stride=1"
150,181,"MEM.W.Read","slice=33 addr=96 stream=E1 count=31 stride=1"
150,181,"MEM.W.Read","slice=34 addr=96 stream=E2 count=31 stride=1"
150,181,"MEM.W.Read","slice=35 addr=96 stream=E3 count=31 stride=1"
156,188,"MXM.E0.Compute","Compute buffer=0 act=E0 out=W0 acc=96 stride=1 dst=sram retain"
156,188,"MXM.E1.Compute","Compute buffer=0 act=E2 out=W4 acc=96 stride=1 dst=sram retain"
156,188,"MXM.W0.Compute","Compute buffer=0 act=E0 out=W0 acc=224 stride=1 dst=sram retain"
156,188,"MXM.W1.Compute","Compute buffer=0 act=E2 out=W4 acc=224 stride=1 dst=sram retain"
188,194,"MXM.E0.Tail","control + datapath drain"
188,194,"MXM.E1.Tail","control + datapath drain"
188,194,"MXM.W0.Tail","control + datapath drain"
188,194,"MXM.W1.Tail","control + datapath drain"
195,196,"MEM.E.Read","slice=28 addr=16 stream=W7"
196,197,"MEM.E.Read","slice=24 addr=16 stream=W6"
196,197,"MEM.E.Read","slice=28 addr=17 stream=W7"
197,198,"MEM.E.Read","slice=20 addr=16 stream=W5"
197,198,"MEM.E.Read","slice=24 addr=17 stream=W6"
197,198,"MEM.E.Read","slice=28 addr=18 stream=W7"
198,199,"MEM.E.Read","slice=16 addr=16 stream=W4"
198,199,"MEM.E.Read","slice=20 addr=17 stream=W5"
198,199,"MEM.E.Read","slice=24 addr=18 stream=W6"
198,199,"MEM.E.Read","slice=28 addr=19 stream=W7"
199,200,"MEM.E.Read","slice=12 addr=16 stream=W3"
199,200,"MEM.E.Read","slice=16 addr=17 stream=W4"
199,200,"MEM.E.Read","slice=20 addr=18 stream=W5"
199,200,"MEM.E.Read","slice=24 addr=19 stream=W6"
199,200,"MEM.E.Read","slice=28 addr=20 stream=W7"
200,201,"MEM.E.Read","slice=8 addr=16 stream=W2"
200,201,"MEM.E.Read","slice=12 addr=17 stream=W3"
200,201,"MEM.E.Read","slice=16 addr=18 stream=W4"
200,201,"MEM.E.Read","slice=20 addr=19 stream=W5"
200,201,"MEM.E.Read","slice=24 addr=20 stream=W6"
200,201,"MEM.E.Read","slice=28 addr=21 stream=W7"
201,202,"MEM.E.Read","slice=4 addr=16 stream=W1"
201,202,"MEM.E.Read","slice=8 addr=17 stream=W2"
201,202,"MEM.E.Read","slice=12 addr=18 stream=W3"
201,202,"MEM.E.Read","slice=16 addr=19 stream=W4"
201,202,"MEM.E.Read","slice=20 addr=20 stream=W5"
201,202,"MEM.E.Read","slice=24 addr=21 stream=W6"
201,202,"MEM.E.Read","slice=28 addr=22 stream=W7"
202,203,"MEM.E.Read","slice=0 addr=16 stream=W0"
202,203,"MEM.E.Read","slice=4 addr=17 stream=W1"
202,203,"MEM.E.Read","slice=8 addr=18 stream=W2"
