start,end,resource,detail
5,20,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=0"
5,20,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=0"
6,21,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=1"
6,21,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=1"
7,22,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=2"
7,22,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=2"
8,23,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=3"
8,23,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=3"
20,21,"MXM.E0.Dequant","gate/up: BF16 scale group=0"
20,21,"MXM.E0.Load","gate/up: INT8 IW column_block=0"
20,21,"MXM.E1.Dequant","gate/up: BF16 scale group=0"
20,21,"MXM.E1.Load","gate/up: INT8 IW column_block=0"
20,21,"MXM.W0.Dequant","gate/up: BF16 scale group=4"
20,21,"MXM.W0.Load","gate/up: INT8 IW column_block=0"
20,21,"MXM.W1.Dequant","gate/up: BF16 scale group=4"
20,21,"MXM.W1.Load","gate/up: INT8 IW column_block=0"
21,22,"MXM.E0.Dequant","gate/up: BF16 scale group=1"
21,22,"MXM.E0.Load","gate/up: INT8 IW column_block=1"
21,22,"MXM.E1.Dequant","gate/up: BF16 scale group=1"
21,22,"MXM.E1.Load","gate/up: INT8 IW column_block=1"
21,22,"MXM.W0.Dequant","gate/up: BF16 scale group=5"
21,22,"MXM.W0.Load","gate/up: INT8 IW column_block=1"
21,22,"MXM.W1.Dequant","gate/up: BF16 scale group=5"
21,22,"MXM.W1.Load","gate/up: INT8 IW column_block=1"
21,28,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=0"
21,28,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=0"
22,23,"MXM.E0.Dequant","gate/up: BF16 scale group=2"
22,23,"MXM.E0.Load","gate/up: INT8 IW column_block=2"
22,23,"MXM.E1.Dequant","gate/up: BF16 scale group=2"
22,23,"MXM.E1.Load","gate/up: INT8 IW column_block=2"
22,23,"MXM.W0.Dequant","gate/up: BF16 scale group=6"
22,23,"MXM.W0.Load","gate/up: INT8 IW column_block=2"
22,23,"MXM.W1.Dequant","gate/up: BF16 scale group=6"
22,23,"MXM.W1.Load","gate/up: INT8 IW column_block=2"
22,29,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=1"
22,29,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=1"
23,24,"MXM.E0.Dequant","gate/up: BF16 scale group=3"
23,24,"MXM.E0.Load","gate/up: INT8 IW column_block=3"
23,24,"MXM.E1.Dequant","gate/up: BF16 scale group=3"
23,24,"MXM.E1.Load","gate/up: INT8 IW column_block=3"
23,24,"MXM.W0.Dequant","gate/up: BF16 scale group=7"
23,24,"MXM.W0.Load","gate/up: INT8 IW column_block=3"
23,24,"MXM.W1.Dequant","gate/up: BF16 scale group=7"
23,24,"MXM.W1.Load","gate/up: INT8 IW column_block=3"
23,30,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=2"
23,30,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=2"
24,31,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=3"
24,31,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=3"
28,68,"MXM.E0.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
28,68,"MXM.E1.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
28,68,"MXM.W0.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
28,68,"MXM.W1.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
33,40,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=4"
33,40,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=4"
34,41,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=5"
34,41,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=5"
35,42,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=6"
35,42,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=6"
36,43,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=7"
36,43,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=7"
45,52,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=8"
45,52,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=8"
46,53,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=9"
46,53,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=9"
47,54,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=10"
47,54,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=10"
48,55,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=11"
48,55,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=11"
57,64,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=12"
57,64,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=12"
58,65,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=13"
58,65,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=13"
59,66,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=14"
59,66,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=14"
60,67,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=15"
60,67,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=15"
61,76,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=0"
61,76,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=0"
62,77,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=1"
62,77,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=1"
63,78,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=2"
63,78,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=2"
64,79,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=3"
64,79,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=3"
76,77,"MXM.E0.Dequant","gate/up: BF16 scale group=0"
76,77,"MXM.E0.Load","gate/up: INT8 IW column_block=0"
76,77,"MXM.E1.Dequant","gate/up: BF16 scale group=0"
76,77,"MXM.E1.Load","gate/up: INT8 IW column_block=0"
76,77,"MXM.W0.Dequant","gate/up: BF16 scale group=4"
76,77,"MXM.W0.Load","gate/up: INT8 IW column_block=0"
76,77,"MXM.W1.Dequant","gate/up: BF16 scale group=4"
76,77,"MXM.W1.Load","gate/up: INT8 IW column_block=0"
77,78,"MXM.E0.Dequant","gate/up: BF16 scale group=1"
77,78,"MXM.E0.Load","gate/up: INT8 IW column_block=1"
77,78,"MXM.E1.Dequant","gate/up: BF16 scale group=1"
77,78,"MXM.E1.Load","gate/up: INT8 IW column_block=1"
77,78,"MXM.W0.Dequant","gate/up: BF16 scale group=5"
77,78,"MXM.W0.Load","gate/up: INT8 IW column_block=1"
77,78,"MXM.W1.Dequant","gate/up: BF16 scale group=5"
77,78,"MXM.W1.Load","gate/up: INT8 IW column_block=1"
77,84,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=0"
77,84,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=0"
78,79,"MXM.E0.Dequant","gate/up: BF16 scale group=2"
78,79,"MXM.E0.Load","gate/up: INT8 IW column_block=2"
78,79,"MXM.E1.Dequant","gate/up: BF16 scale group=2"
78,79,"MXM.E1.Load","gate/up: INT8 IW column_block=2"
78,79,"MXM.W0.Dequant","gate/up: BF16 scale group=6"
78,79,"MXM.W0.Load","gate/up: INT8 IW column_block=2"
78,79,"MXM.W1.Dequant","gate/up: BF16 scale group=6"
78,79,"MXM.W1.Load","gate/up: INT8 IW column_block=2"
78,85,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=1"
78,85,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=1"
79,80,"MXM.E0.Dequant","gate/up: BF16 scale group=3"
79,80,"MXM.E0.Load","gate/up: INT8 IW column_block=3"
79,80,"MXM.E1.Dequant","gate/up: BF16 scale group=3"
79,80,"MXM.E1.Load","gate/up: INT8 IW column_block=3"
79,80,"MXM.W0.Dequant","gate/up: BF16 scale group=7"
79,80,"MXM.W0.Load","gate/up: INT8 IW column_block=3"
79,80,"MXM.W1.Dequant","gate/up: BF16 scale group=7"
79,80,"MXM.W1.Load","gate/up: INT8 IW column_block=3"
79,86,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=2"
79,86,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=2"
80,87,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=3"
80,87,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=3"
84,124,"MXM.E0.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
84,124,"MXM.E1.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
84,124,"MXM.W0.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
84,124,"MXM.W1.Compute","gate/up: Block8 wave=0 reduction=1 rows=128 partial sum dst=sram"
89,96,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=4"
89,96,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=4"
90,97,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=5"
90,97,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=5"
91,98,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=6"
91,98,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=6"
92,99,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=7"
92,99,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=7"
101,108,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=8"
101,108,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=8"
102,109,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=9"
102,109,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=9"
103,110,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=10"
103,110,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=10"
104,111,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=11"
104,111,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=11"
113,120,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=12"
113,120,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=12"
114,121,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=13"
114,121,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=13"
115,122,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=14"
115,122,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=14"
116,123,"MEM.E.Read","gate/up: Block8 activation reduction=1 row_block=15"
116,123,"MEM.W.Read","gate/up: Block8 activation reduction=1 row_block=15"
117,132,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=0"
117,132,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=0"
118,133,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=1"
118,133,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=1"
119,134,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=2"
119,134,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=2"
120,135,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=3"
120,135,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=2 column_block=3"
132,133,"MXM.E0.Dequant","gate/up: BF16 scale group=0"
132,133,"MXM.E0.Load","gate/up: INT8 IW column_block=0"
132,133,"MXM.E1.Dequant","gate/up: BF16 scale group=0"
132,133,"MXM.E1.Load","gate/up: INT8 IW column_block=0"
132,133,"MXM.W0.Dequant","gate/up: BF16 scale group=4"
132,133,"MXM.W0.Load","gate/up: INT8 IW column_block=0"
132,133,"MXM.W1.Dequant","gate/up: BF16 scale group=4"
132,133,"MXM.W1.Load","gate/up: INT8 IW column_block=0"
133,134,"MXM.E0.Dequant","gate/up: BF16 scale group=1"
133,134,"MXM.E0.Load","gate/up: INT8 IW column_block=1"
133,134,"MXM.E1.Dequant","gate/up: BF16 scale group=1"
133,134,"MXM.E1.Load","gate/up: INT8 IW column_block=1"
133,134,"MXM.W0.Dequant","gate/up: BF16 scale group=5"
133,134,"MXM.W0.Load","gate/up: INT8 IW column_block=1"
133,134,"MXM.W1.Dequant","gate/up: BF16 scale group=5"
133,134,"MXM.W1.Load","gate/up: INT8 IW column_block=1"
133,140,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=0"
133,140,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=0"
134,135,"MXM.E0.Dequant","gate/up: BF16 scale group=2"
134,135,"MXM.E0.Load","gate/up: INT8 IW column_block=2"
134,135,"MXM.E1.Dequant","gate/up: BF16 scale group=2"
134,135,"MXM.E1.Load","gate/up: INT8 IW column_block=2"
134,135,"MXM.W0.Dequant","gate/up: BF16 scale group=6"
134,135,"MXM.W0.Load","gate/up: INT8 IW column_block=2"
134,135,"MXM.W1.Dequant","gate/up: BF16 scale group=6"
134,135,"MXM.W1.Load","gate/up: INT8 IW column_block=2"
134,141,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=1"
134,141,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=1"
135,136,"MXM.E0.Dequant","gate/up: BF16 scale group=3"
135,136,"MXM.E0.Load","gate/up: INT8 IW column_block=3"
135,136,"MXM.E1.Dequant","gate/up: BF16 scale group=3"
135,136,"MXM.E1.Load","gate/up: INT8 IW column_block=3"
135,136,"MXM.W0.Dequant","gate/up: BF16 scale group=7"
135,136,"MXM.W0.Load","gate/up: INT8 IW column_block=3"
135,136,"MXM.W1.Dequant","gate/up: BF16 scale group=7"
135,136,"MXM.W1.Load","gate/up: INT8 IW column_block=3"
135,142,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=2"
135,142,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=2"
136,143,"MEM.E.Read","gate/up: Block8 activation reduction=2 row_block=3"
136,143,"MEM.W.Read","gate/up: Block8 activation reduction=2 row_block=3"
140,180,"MXM.E0.Compute","gate/up: Block8 wave=0 reduction=2 rows=128 partial sum dst=sram"
140,180,"MXM.E1.Compute","gate/up: Block8 wave=0 reduction=2 rows=128 partial sum dst=sram"
140,180,"MXM.W0.Compute","gate/up: Block8 wave=0 reduction=2 rows=128 partial sum dst=sram"
