start,end,resource,detail
6,7,"MEM.E.Read","prefill norm1: RMSNorm x column=0"
6,7,"MEM.E.Read","prefill norm1: RMSNorm x column=0"
7,8,"MEM.E.Read","prefill norm1: RMSNorm x column=1"
7,8,"MEM.E.Read","prefill norm1: RMSNorm x column=1"
8,9,"MEM.E.Read","prefill norm1: RMSNorm x column=2"
8,9,"MEM.E.Read","prefill norm1: RMSNorm x column=2"
8,9,"VXM.ALU0","prefill norm1: square column=0"
8,9,"VXM.ALU1","prefill norm1: sum(x^2) init"
9,10,"MEM.E.Read","prefill norm1: RMSNorm x column=3"
9,10,"MEM.E.Read","prefill norm1: RMSNorm x column=3"
9,10,"VXM.ALU0","prefill norm1: square column=1"
9,10,"VXM.ALU1","prefill norm1: sum(x^2) column=0"
10,11,"MEM.E.Read","prefill norm1: RMSNorm x column=4"
10,11,"MEM.E.Read","prefill norm1: RMSNorm x column=4"
10,11,"VXM.ALU0","prefill norm1: square column=2"
10,11,"VXM.ALU1","prefill norm1: sum(x^2) column=1"
11,12,"MEM.E.Read","prefill norm1: RMSNorm x column=5"
11,12,"MEM.E.Read","prefill norm1: RMSNorm x column=5"
11,12,"VXM.ALU0","prefill norm1: square column=3"
11,12,"VXM.ALU1","prefill norm1: sum(x^2) column=2"
12,13,"MEM.E.Read","prefill norm1: RMSNorm x column=6"
12,13,"MEM.E.Read","prefill norm1: RMSNorm x column=6"
12,13,"VXM.ALU0","prefill norm1: square column=4"
12,13,"VXM.ALU1","prefill norm1: sum(x^2) column=3"
13,14,"MEM.E.Read","prefill norm1: RMSNorm x column=7"
13,14,"MEM.E.Read","prefill norm1: RMSNorm x column=7"
13,14,"VXM.ALU0","prefill norm1: square column=5"
13,14,"VXM.ALU1","prefill norm1: sum(x^2) column=4"
14,15,"MEM.E.Read","prefill norm1: RMSNorm x column=8"
14,15,"MEM.E.Read","prefill norm1: RMSNorm x column=8"
14,15,"VXM.ALU0","prefill norm1: square column=6"
14,15,"VXM.ALU1","prefill norm1: sum(x^2) column=5"
15,16,"MEM.E.Read","prefill norm1: RMSNorm x column=9"
15,16,"MEM.E.Read","prefill norm1: RMSNorm x column=9"
15,16,"VXM.ALU0","prefill norm1: square column=7"
15,16,"VXM.ALU1","prefill norm1: sum(x^2) column=6"
16,17,"MEM.E.Read","prefill norm1: RMSNorm x column=10"
16,17,"MEM.E.Read","prefill norm1: RMSNorm x column=10"
16,17,"VXM.ALU0","prefill norm1: square column=8"
16,17,"VXM.ALU1","prefill norm1: sum(x^2) column=7"
17,18,"MEM.E.Read","prefill norm1: RMSNorm x column=11"
17,18,"MEM.E.Read","prefill norm1: RMSNorm x column=11"
17,18,"VXM.ALU0","prefill norm1: square column=9"
17,18,"VXM.ALU1","prefill norm1: sum(x^2) column=8"
18,19,"MEM.E.Read","prefill norm1: RMSNorm x column=12"
18,19,"MEM.E.Read","prefill norm1: RMSNorm x column=12"
