start,end,resource,detail
0,18456,"C2C.Inbound.E","4608 x 32B activation vectors"
0,18456,"MEM.E.InputStore","Sync/Nop/Write into activation slices 32..47"
18456,36912,"C2C.Inbound.W","4608 x 32B activation vectors"
18456,36912,"MEM.W.InputStore","Sync/Nop/Write into activation slices 32..47"
36917,36932,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=0"
36917,36932,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=0"
36918,36933,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=1"
36918,36933,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=1"
36919,36934,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=2"
36919,36934,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=2"
36920,36935,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=3"
36920,36935,"MEM.W.Read","gate/up: INT8 gate/up weights wave=0 reduction=0 column_block=3"
36932,36933,"MXM.E0.Dequant","gate/up: BF16 scale group=0"
36932,36933,"MXM.E0.Load","gate/up: INT8 IW column_block=0"
36932,36933,"MXM.E1.Dequant","gate/up: BF16 scale group=0"
36932,36933,"MXM.E1.Load","gate/up: INT8 IW column_block=0"
36932,36933,"MXM.W0.Dequant","gate/up: BF16 scale group=4"
36932,36933,"MXM.W0.Load","gate/up: INT8 IW column_block=0"
36932,36933,"MXM.W1.Dequant","gate/up: BF16 scale group=4"
36932,36933,"MXM.W1.Load","gate/up: INT8 IW column_block=0"
36933,36934,"MXM.E0.Dequant","gate/up: BF16 scale group=1"
36933,36934,"MXM.E0.Load","gate/up: INT8 IW column_block=1"
36933,36934,"MXM.E1.Dequant","gate/up: BF16 scale group=1"
36933,36934,"MXM.E1.Load","gate/up: INT8 IW column_block=1"
36933,36934,"MXM.W0.Dequant","gate/up: BF16 scale group=5"
36933,36934,"MXM.W0.Load","gate/up: INT8 IW column_block=1"
36933,36934,"MXM.W1.Dequant","gate/up: BF16 scale group=5"
36933,36934,"MXM.W1.Load","gate/up: INT8 IW column_block=1"
36933,36940,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=0"
36933,36940,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=0"
36934,36935,"MXM.E0.Dequant","gate/up: BF16 scale group=2"
36934,36935,"MXM.E0.Load","gate/up: INT8 IW column_block=2"
36934,36935,"MXM.E1.Dequant","gate/up: BF16 scale group=2"
36934,36935,"MXM.E1.Load","gate/up: INT8 IW column_block=2"
36934,36935,"MXM.W0.Dequant","gate/up: BF16 scale group=6"
36934,36935,"MXM.W0.Load","gate/up: INT8 IW column_block=2"
36934,36935,"MXM.W1.Dequant","gate/up: BF16 scale group=6"
36934,36935,"MXM.W1.Load","gate/up: INT8 IW column_block=2"
36934,36941,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=1"
36934,36941,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=1"
36935,36936,"MXM.E0.Dequant","gate/up: BF16 scale group=3"
36935,36936,"MXM.E0.Load","gate/up: INT8 IW column_block=3"
36935,36936,"MXM.E1.Dequant","gate/up: BF16 scale group=3"
36935,36936,"MXM.E1.Load","gate/up: INT8 IW column_block=3"
36935,36936,"MXM.W0.Dequant","gate/up: BF16 scale group=7"
36935,36936,"MXM.W0.Load","gate/up: INT8 IW column_block=3"
36935,36936,"MXM.W1.Dequant","gate/up: BF16 scale group=7"
36935,36936,"MXM.W1.Load","gate/up: INT8 IW column_block=3"
36935,36942,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=2"
36935,36942,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=2"
36936,36943,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=3"
36936,36943,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=3"
36940,36980,"MXM.E0.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
36940,36980,"MXM.E1.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
36940,36980,"MXM.W0.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
36940,36980,"MXM.W1.Compute","gate/up: Block8 wave=0 reduction=0 rows=128 partial sum dst=sram"
36945,36952,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=4"
36945,36952,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=4"
36946,36953,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=5"
36946,36953,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=5"
36947,36954,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=6"
36947,36954,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=6"
36948,36955,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=7"
36948,36955,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=7"
36957,36964,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=8"
36957,36964,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=8"
36958,36965,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=9"
36958,36965,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=9"
36959,36966,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=10"
36959,36966,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=10"
36960,36967,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=11"
36960,36967,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=11"
36969,36976,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=12"
36969,36976,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=12"
36970,36977,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=13"
36970,36977,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=13"
36971,36978,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=14"
36971,36978,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=14"
36972,36979,"MEM.E.Read","gate/up: Block8 activation reduction=0 row_block=15"
36972,36979,"MEM.W.Read","gate/up: Block8 activation reduction=0 row_block=15"
36973,36988,"MEM.E.Read","gate/up: INT8 gate/up weights wave=0 reduction=1 column_block=0"
