start,end,resource,detail
16,20,"MEM.GateUp.Linear1x16.Activation.Read","reduction=0 K=0..127"
20,21,"MXM.GateUp.Linear1x16.Load","activation buffer=0"
7,218,"MEM.GateUp.Linear1x16.Weight.Read","reduction=0 waves=192 columns stagger=4 cycles"
22,214,"MXM.GateUp.Linear1x16.Compute","reduction=0 dst=sram"
214,229,"MXM.GateUp.Linear1x16.Tail","final launched wave drains through 16-cell chain"
210,214,"MEM.GateUp.Linear1x16.Activation.Read","reduction=1 K=128..255"
214,215,"MXM.GateUp.Linear1x16.Load","activation buffer=1"
201,412,"MEM.GateUp.Linear1x16.Weight.Read","reduction=1 waves=192 columns stagger=4 cycles"
216,408,"MXM.GateUp.Linear1x16.Compute","reduction=1 dst=sram"
408,423,"MXM.GateUp.Linear1x16.Tail","final launched wave drains through 16-cell chain"
404,408,"MEM.GateUp.Linear1x16.Activation.Read","reduction=2 K=256..383"
408,409,"MXM.GateUp.Linear1x16.Load","activation buffer=0"
395,606,"MEM.GateUp.Linear1x16.Weight.Read","reduction=2 waves=192 columns stagger=4 cycles"
410,602,"MXM.GateUp.Linear1x16.Compute","reduction=2 dst=sram"
602,617,"MXM.GateUp.Linear1x16.Tail","final launched wave drains through 16-cell chain"
598,602,"MEM.GateUp.Linear1x16.Activation.Read","reduction=3 K=384..511"
602,603,"MXM.GateUp.Linear1x16.Load","activation buffer=1"
589,800,"MEM.GateUp.Linear1x16.Weight.Read","reduction=3 waves=192 columns stagger=4 cycles"
604,796,"MXM.GateUp.Linear1x16.Compute","reduction=3 dst=sram"
796,811,"MXM.GateUp.Linear1x16.Tail","final launched wave drains through 16-cell chain"
792,796,"MEM.GateUp.Linear1x16.Activation.Read","reduction=4 K=512..575"
796,797,"MXM.GateUp.Linear1x16.Load","activation buffer=0"
783,994,"MEM.GateUp.Linear1x16.Weight.Read","reduction=4 waves=192 columns stagger=4 cycles"
798,990,"MXM.GateUp.Linear1x16.Compute","reduction=4 dst=stream+clear"
990,1005,"MXM.GateUp.Linear1x16.Tail","final launched wave drains through 16-cell chain"
817,1009,"MEM.GateUp.Linear1x16.Output.Write","BF16 outputs=1536"
17,20,"MEM.GateUp.Native4x4.Activation.Read","reduction=0 K=0..31"
20,21,"MXM.GateUp.Native4x4.Load","activation buffer=0"
9,67,"MEM.GateUp.Native4x4.Weight.Read","reduction=0 waves=48 columns stagger=1 cycle"
24,72,"MXM.GateUp.Native4x4.Compute","reduction=0 dst=sram"
72,78,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
69,72,"MEM.GateUp.Native4x4.Activation.Read","reduction=1 K=32..63"
72,73,"MXM.GateUp.Native4x4.Load","activation buffer=1"
61,119,"MEM.GateUp.Native4x4.Weight.Read","reduction=1 waves=48 columns stagger=1 cycle"
76,124,"MXM.GateUp.Native4x4.Compute","reduction=1 dst=sram"
124,130,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
121,124,"MEM.GateUp.Native4x4.Activation.Read","reduction=2 K=64..95"
124,125,"MXM.GateUp.Native4x4.Load","activation buffer=0"
113,171,"MEM.GateUp.Native4x4.Weight.Read","reduction=2 waves=48 columns stagger=1 cycle"
128,176,"MXM.GateUp.Native4x4.Compute","reduction=2 dst=sram"
176,182,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
173,176,"MEM.GateUp.Native4x4.Activation.Read","reduction=3 K=96..127"
176,177,"MXM.GateUp.Native4x4.Load","activation buffer=1"
165,223,"MEM.GateUp.Native4x4.Weight.Read","reduction=3 waves=48 columns stagger=1 cycle"
180,228,"MXM.GateUp.Native4x4.Compute","reduction=3 dst=sram"
228,234,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
225,228,"MEM.GateUp.Native4x4.Activation.Read","reduction=4 K=128..159"
228,229,"MXM.GateUp.Native4x4.Load","activation buffer=0"
217,275,"MEM.GateUp.Native4x4.Weight.Read","reduction=4 waves=48 columns stagger=1 cycle"
232,280,"MXM.GateUp.Native4x4.Compute","reduction=4 dst=sram"
280,286,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
277,280,"MEM.GateUp.Native4x4.Activation.Read","reduction=5 K=160..191"
280,281,"MXM.GateUp.Native4x4.Load","activation buffer=1"
269,327,"MEM.GateUp.Native4x4.Weight.Read","reduction=5 waves=48 columns stagger=1 cycle"
284,332,"MXM.GateUp.Native4x4.Compute","reduction=5 dst=sram"
332,338,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
329,332,"MEM.GateUp.Native4x4.Activation.Read","reduction=6 K=192..223"
332,333,"MXM.GateUp.Native4x4.Load","activation buffer=0"
321,379,"MEM.GateUp.Native4x4.Weight.Read","reduction=6 waves=48 columns stagger=1 cycle"
336,384,"MXM.GateUp.Native4x4.Compute","reduction=6 dst=sram"
384,390,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
381,384,"MEM.GateUp.Native4x4.Activation.Read","reduction=7 K=224..255"
384,385,"MXM.GateUp.Native4x4.Load","activation buffer=1"
373,431,"MEM.GateUp.Native4x4.Weight.Read","reduction=7 waves=48 columns stagger=1 cycle"
388,436,"MXM.GateUp.Native4x4.Compute","reduction=7 dst=sram"
436,442,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
433,436,"MEM.GateUp.Native4x4.Activation.Read","reduction=8 K=256..287"
436,437,"MXM.GateUp.Native4x4.Load","activation buffer=0"
425,483,"MEM.GateUp.Native4x4.Weight.Read","reduction=8 waves=48 columns stagger=1 cycle"
440,488,"MXM.GateUp.Native4x4.Compute","reduction=8 dst=sram"
488,494,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
485,488,"MEM.GateUp.Native4x4.Activation.Read","reduction=9 K=288..319"
488,489,"MXM.GateUp.Native4x4.Load","activation buffer=1"
477,535,"MEM.GateUp.Native4x4.Weight.Read","reduction=9 waves=48 columns stagger=1 cycle"
492,540,"MXM.GateUp.Native4x4.Compute","reduction=9 dst=sram"
540,546,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
537,540,"MEM.GateUp.Native4x4.Activation.Read","reduction=10 K=320..351"
540,541,"MXM.GateUp.Native4x4.Load","activation buffer=0"
529,587,"MEM.GateUp.Native4x4.Weight.Read","reduction=10 waves=48 columns stagger=1 cycle"
544,592,"MXM.GateUp.Native4x4.Compute","reduction=10 dst=sram"
592,598,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
589,592,"MEM.GateUp.Native4x4.Activation.Read","reduction=11 K=352..383"
592,593,"MXM.GateUp.Native4x4.Load","activation buffer=1"
581,639,"MEM.GateUp.Native4x4.Weight.Read","reduction=11 waves=48 columns stagger=1 cycle"
596,644,"MXM.GateUp.Native4x4.Compute","reduction=11 dst=sram"
644,650,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
641,644,"MEM.GateUp.Native4x4.Activation.Read","reduction=12 K=384..415"
644,645,"MXM.GateUp.Native4x4.Load","activation buffer=0"
633,691,"MEM.GateUp.Native4x4.Weight.Read","reduction=12 waves=48 columns stagger=1 cycle"
648,696,"MXM.GateUp.Native4x4.Compute","reduction=12 dst=sram"
696,702,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
693,696,"MEM.GateUp.Native4x4.Activation.Read","reduction=13 K=416..447"
696,697,"MXM.GateUp.Native4x4.Load","activation buffer=1"
685,743,"MEM.GateUp.Native4x4.Weight.Read","reduction=13 waves=48 columns stagger=1 cycle"
700,748,"MXM.GateUp.Native4x4.Compute","reduction=13 dst=sram"
748,754,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
745,748,"MEM.GateUp.Native4x4.Activation.Read","reduction=14 K=448..479"
748,749,"MXM.GateUp.Native4x4.Load","activation buffer=0"
737,795,"MEM.GateUp.Native4x4.Weight.Read","reduction=14 waves=48 columns stagger=1 cycle"
752,800,"MXM.GateUp.Native4x4.Compute","reduction=14 dst=sram"
800,806,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
797,800,"MEM.GateUp.Native4x4.Activation.Read","reduction=15 K=480..511"
800,801,"MXM.GateUp.Native4x4.Load","activation buffer=1"
789,847,"MEM.GateUp.Native4x4.Weight.Read","reduction=15 waves=48 columns stagger=1 cycle"
804,852,"MXM.GateUp.Native4x4.Compute","reduction=15 dst=sram"
852,858,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
849,852,"MEM.GateUp.Native4x4.Activation.Read","reduction=16 K=512..543"
852,853,"MXM.GateUp.Native4x4.Load","activation buffer=0"
841,899,"MEM.GateUp.Native4x4.Weight.Read","reduction=16 waves=48 columns stagger=1 cycle"
856,904,"MXM.GateUp.Native4x4.Compute","reduction=16 dst=sram"
904,910,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
901,904,"MEM.GateUp.Native4x4.Activation.Read","reduction=17 K=544..575"
904,905,"MXM.GateUp.Native4x4.Load","activation buffer=1"
893,951,"MEM.GateUp.Native4x4.Weight.Read","reduction=17 waves=48 columns stagger=1 cycle"
908,956,"MXM.GateUp.Native4x4.Compute","reduction=17 dst=stream+clear"
956,962,"MXM.GateUp.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
918,966,"MEM.GateUp.Native4x4.Output.Write","BF16 outputs=1536"
16,20,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=0 K=0..127"
20,21,"MXM.DownHalf.Linear1x16.Load","activation buffer=0"
7,62,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=0 waves=36 columns stagger=4 cycles"
22,58,"MXM.DownHalf.Linear1x16.Compute","reduction=0 dst=sram"
58,73,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
54,58,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=1 K=128..255"
58,59,"MXM.DownHalf.Linear1x16.Load","activation buffer=1"
45,100,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=1 waves=36 columns stagger=4 cycles"
60,96,"MXM.DownHalf.Linear1x16.Compute","reduction=1 dst=sram"
96,111,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
92,96,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=2 K=256..383"
96,97,"MXM.DownHalf.Linear1x16.Load","activation buffer=0"
83,138,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=2 waves=36 columns stagger=4 cycles"
98,134,"MXM.DownHalf.Linear1x16.Compute","reduction=2 dst=sram"
134,149,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
130,134,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=3 K=384..511"
134,135,"MXM.DownHalf.Linear1x16.Load","activation buffer=1"
121,176,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=3 waves=36 columns stagger=4 cycles"
136,172,"MXM.DownHalf.Linear1x16.Compute","reduction=3 dst=sram"
172,187,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
168,172,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=4 K=512..639"
172,173,"MXM.DownHalf.Linear1x16.Load","activation buffer=0"
159,214,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=4 waves=36 columns stagger=4 cycles"
174,210,"MXM.DownHalf.Linear1x16.Compute","reduction=4 dst=sram"
210,225,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
206,210,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=5 K=640..767"
210,211,"MXM.DownHalf.Linear1x16.Load","activation buffer=1"
197,252,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=5 waves=36 columns stagger=4 cycles"
212,248,"MXM.DownHalf.Linear1x16.Compute","reduction=5 dst=sram"
248,263,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
244,248,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=6 K=768..895"
248,249,"MXM.DownHalf.Linear1x16.Load","activation buffer=0"
235,290,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=6 waves=36 columns stagger=4 cycles"
250,286,"MXM.DownHalf.Linear1x16.Compute","reduction=6 dst=sram"
286,301,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
282,286,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=7 K=896..1023"
286,287,"MXM.DownHalf.Linear1x16.Load","activation buffer=1"
273,328,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=7 waves=36 columns stagger=4 cycles"
288,324,"MXM.DownHalf.Linear1x16.Compute","reduction=7 dst=sram"
324,339,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
320,324,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=8 K=1024..1151"
324,325,"MXM.DownHalf.Linear1x16.Load","activation buffer=0"
311,366,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=8 waves=36 columns stagger=4 cycles"
326,362,"MXM.DownHalf.Linear1x16.Compute","reduction=8 dst=sram"
362,377,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
358,362,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=9 K=1152..1279"
362,363,"MXM.DownHalf.Linear1x16.Load","activation buffer=1"
349,404,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=9 waves=36 columns stagger=4 cycles"
364,400,"MXM.DownHalf.Linear1x16.Compute","reduction=9 dst=sram"
400,415,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
396,400,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=10 K=1280..1407"
400,401,"MXM.DownHalf.Linear1x16.Load","activation buffer=0"
387,442,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=10 waves=36 columns stagger=4 cycles"
402,438,"MXM.DownHalf.Linear1x16.Compute","reduction=10 dst=sram"
438,453,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
434,438,"MEM.DownHalf.Linear1x16.Activation.Read","reduction=11 K=1408..1535"
438,439,"MXM.DownHalf.Linear1x16.Load","activation buffer=1"
425,480,"MEM.DownHalf.Linear1x16.Weight.Read","reduction=11 waves=36 columns stagger=4 cycles"
440,476,"MXM.DownHalf.Linear1x16.Compute","reduction=11 dst=stream+clear"
476,491,"MXM.DownHalf.Linear1x16.Tail","final launched wave drains through 16-cell chain"
459,495,"MEM.DownHalf.Linear1x16.Output.Write","BF16 outputs=288"
17,20,"MEM.DownHalf.Native4x4.Activation.Read","reduction=0 K=0..31"
20,21,"MXM.DownHalf.Native4x4.Load","activation buffer=0"
9,28,"MEM.DownHalf.Native4x4.Weight.Read","reduction=0 waves=9 columns stagger=1 cycle"
24,33,"MXM.DownHalf.Native4x4.Compute","reduction=0 dst=sram"
33,39,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
30,33,"MEM.DownHalf.Native4x4.Activation.Read","reduction=1 K=32..63"
33,34,"MXM.DownHalf.Native4x4.Load","activation buffer=1"
22,41,"MEM.DownHalf.Native4x4.Weight.Read","reduction=1 waves=9 columns stagger=1 cycle"
37,46,"MXM.DownHalf.Native4x4.Compute","reduction=1 dst=sram"
46,52,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
43,46,"MEM.DownHalf.Native4x4.Activation.Read","reduction=2 K=64..95"
46,47,"MXM.DownHalf.Native4x4.Load","activation buffer=0"
35,54,"MEM.DownHalf.Native4x4.Weight.Read","reduction=2 waves=9 columns stagger=1 cycle"
50,59,"MXM.DownHalf.Native4x4.Compute","reduction=2 dst=sram"
59,65,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
56,59,"MEM.DownHalf.Native4x4.Activation.Read","reduction=3 K=96..127"
59,60,"MXM.DownHalf.Native4x4.Load","activation buffer=1"
48,67,"MEM.DownHalf.Native4x4.Weight.Read","reduction=3 waves=9 columns stagger=1 cycle"
63,72,"MXM.DownHalf.Native4x4.Compute","reduction=3 dst=sram"
72,78,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
69,72,"MEM.DownHalf.Native4x4.Activation.Read","reduction=4 K=128..159"
72,73,"MXM.DownHalf.Native4x4.Load","activation buffer=0"
61,80,"MEM.DownHalf.Native4x4.Weight.Read","reduction=4 waves=9 columns stagger=1 cycle"
76,85,"MXM.DownHalf.Native4x4.Compute","reduction=4 dst=sram"
85,91,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
82,85,"MEM.DownHalf.Native4x4.Activation.Read","reduction=5 K=160..191"
85,86,"MXM.DownHalf.Native4x4.Load","activation buffer=1"
74,93,"MEM.DownHalf.Native4x4.Weight.Read","reduction=5 waves=9 columns stagger=1 cycle"
89,98,"MXM.DownHalf.Native4x4.Compute","reduction=5 dst=sram"
98,104,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
95,98,"MEM.DownHalf.Native4x4.Activation.Read","reduction=6 K=192..223"
98,99,"MXM.DownHalf.Native4x4.Load","activation buffer=0"
87,106,"MEM.DownHalf.Native4x4.Weight.Read","reduction=6 waves=9 columns stagger=1 cycle"
102,111,"MXM.DownHalf.Native4x4.Compute","reduction=6 dst=sram"
111,117,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
108,111,"MEM.DownHalf.Native4x4.Activation.Read","reduction=7 K=224..255"
111,112,"MXM.DownHalf.Native4x4.Load","activation buffer=1"
100,119,"MEM.DownHalf.Native4x4.Weight.Read","reduction=7 waves=9 columns stagger=1 cycle"
115,124,"MXM.DownHalf.Native4x4.Compute","reduction=7 dst=sram"
124,130,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
121,124,"MEM.DownHalf.Native4x4.Activation.Read","reduction=8 K=256..287"
124,125,"MXM.DownHalf.Native4x4.Load","activation buffer=0"
113,132,"MEM.DownHalf.Native4x4.Weight.Read","reduction=8 waves=9 columns stagger=1 cycle"
128,137,"MXM.DownHalf.Native4x4.Compute","reduction=8 dst=sram"
137,143,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
134,137,"MEM.DownHalf.Native4x4.Activation.Read","reduction=9 K=288..319"
137,138,"MXM.DownHalf.Native4x4.Load","activation buffer=1"
126,145,"MEM.DownHalf.Native4x4.Weight.Read","reduction=9 waves=9 columns stagger=1 cycle"
141,150,"MXM.DownHalf.Native4x4.Compute","reduction=9 dst=sram"
150,156,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
147,150,"MEM.DownHalf.Native4x4.Activation.Read","reduction=10 K=320..351"
150,151,"MXM.DownHalf.Native4x4.Load","activation buffer=0"
139,158,"MEM.DownHalf.Native4x4.Weight.Read","reduction=10 waves=9 columns stagger=1 cycle"
154,163,"MXM.DownHalf.Native4x4.Compute","reduction=10 dst=sram"
163,169,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
160,163,"MEM.DownHalf.Native4x4.Activation.Read","reduction=11 K=352..383"
163,164,"MXM.DownHalf.Native4x4.Load","activation buffer=1"
152,171,"MEM.DownHalf.Native4x4.Weight.Read","reduction=11 waves=9 columns stagger=1 cycle"
167,176,"MXM.DownHalf.Native4x4.Compute","reduction=11 dst=sram"
176,182,"MXM.DownHalf.Native4x4.Tail","final launched wave drains through 4x4 diagonal"
173,176,"MEM.DownHalf.Native4x4.Activation.Read","reduction=12 K=384..415"
176,177,"MXM.DownHalf.Native4x4.Load","activation buffer=0"
165,184,"MEM.DownHalf.Native4x4.Weight.Read","reduction=12 waves=9 columns stagger=1 cycle"
180,189,"MXM.DownHalf.Native4x4.Compute","reduction=12 dst=sram"
