start,end,resource,detail
6,7,"MEM.E.Read","prefill FFN residual: residual lhs column=0"
6,7,"MEM.E.Read","prefill FFN residual: residual rhs column=0"
6,7,"MEM.E.Read","prefill FFN residual: residual lhs column=0"
6,7,"MEM.E.Read","prefill FFN residual: residual rhs column=0"
7,8,"MEM.E.Read","prefill FFN residual: residual lhs column=1"
7,8,"MEM.E.Read","prefill FFN residual: residual rhs column=1"
7,8,"MEM.E.Read","prefill FFN residual: residual lhs column=1"
7,8,"MEM.E.Read","prefill FFN residual: residual rhs column=1"
8,9,"MEM.E.Read","prefill FFN residual: residual lhs column=2"
8,9,"MEM.E.Read","prefill FFN residual: residual rhs column=2"
8,9,"MEM.E.Read","prefill FFN residual: residual lhs column=2"
8,9,"MEM.E.Read","prefill FFN residual: residual rhs column=2"
8,9,"VXM.ALU0","prefill FFN residual: BF16 residual add column=0"
9,10,"MEM.E.Read","prefill FFN residual: residual lhs column=3"
9,10,"MEM.E.Read","prefill FFN residual: residual rhs column=3"
9,10,"MEM.E.Read","prefill FFN residual: residual lhs column=3"
9,10,"MEM.E.Read","prefill FFN residual: residual rhs column=3"
9,10,"VXM.ALU0","prefill FFN residual: BF16 residual add column=1"
10,11,"MEM.E.Read","prefill FFN residual: residual lhs column=4"
10,11,"MEM.E.Read","prefill FFN residual: residual rhs column=4"
10,11,"MEM.E.Read","prefill FFN residual: residual lhs column=4"
10,11,"MEM.E.Read","prefill FFN residual: residual rhs column=4"
10,11,"VXM.ALU0","prefill FFN residual: BF16 residual add column=2"
11,12,"MEM.E.Read","prefill FFN residual: residual lhs column=5"
11,12,"MEM.E.Read","prefill FFN residual: residual rhs column=5"
11,12,"MEM.E.Read","prefill FFN residual: residual lhs column=5"
11,12,"MEM.E.Read","prefill FFN residual: residual rhs column=5"
11,12,"MEM.E.Write","prefill FFN residual: residual write column=0"
11,12,"MEM.E.Write","prefill FFN residual: residual write column=0"
11,12,"VXM.ALU0","prefill FFN residual: BF16 residual add column=3"
12,13,"MEM.E.Read","prefill FFN residual: residual lhs column=6"
12,13,"MEM.E.Read","prefill FFN residual: residual rhs column=6"
12,13,"MEM.E.Read","prefill FFN residual: residual lhs column=6"
12,13,"MEM.E.Read","prefill FFN residual: residual rhs column=6"
12,13,"MEM.E.Write","prefill FFN residual: residual write column=1"
12,13,"MEM.E.Write","prefill FFN residual: residual write column=1"
12,13,"VXM.ALU0","prefill FFN residual: BF16 residual add column=4"
13,14,"MEM.E.Read","prefill FFN residual: residual lhs column=7"
13,14,"MEM.E.Read","prefill FFN residual: residual rhs column=7"
13,14,"MEM.E.Read","prefill FFN residual: residual lhs column=7"
13,14,"MEM.E.Read","prefill FFN residual: residual rhs column=7"
13,14,"MEM.E.Write","prefill FFN residual: residual write column=2"
13,14,"MEM.E.Write","prefill FFN residual: residual write column=2"
13,14,"VXM.ALU0","prefill FFN residual: BF16 residual add column=5"
14,15,"MEM.E.Read","prefill FFN residual: residual lhs column=8"
14,15,"MEM.E.Read","prefill FFN residual: residual rhs column=8"
14,15,"MEM.E.Read","prefill FFN residual: residual lhs column=8"
14,15,"MEM.E.Read","prefill FFN residual: residual rhs column=8"
14,15,"MEM.E.Write","prefill FFN residual: residual write column=3"
14,15,"MEM.E.Write","prefill FFN residual: residual write column=3"
14,15,"VXM.ALU0","prefill FFN residual: BF16 residual add column=6"
15,16,"MEM.E.Read","prefill FFN residual: residual lhs column=9"
15,16,"MEM.E.Read","prefill FFN residual: residual rhs column=9"
15,16,"MEM.E.Read","prefill FFN residual: residual lhs column=9"
15,16,"MEM.E.Read","prefill FFN residual: residual rhs column=9"
15,16,"MEM.E.Write","prefill FFN residual: residual write column=4"
15,16,"MEM.E.Write","prefill FFN residual: residual write column=4"
15,16,"VXM.ALU0","prefill FFN residual: BF16 residual add column=7"
16,17,"MEM.E.Read","prefill FFN residual: residual lhs column=10"
16,17,"MEM.E.Read","prefill FFN residual: residual rhs column=10"
16,17,"MEM.E.Read","prefill FFN residual: residual lhs column=10"
16,17,"MEM.E.Read","prefill FFN residual: residual rhs column=10"
16,17,"MEM.E.Write","prefill FFN residual: residual write column=5"
16,17,"MEM.E.Write","prefill FFN residual: residual write column=5"
16,17,"VXM.ALU0","prefill FFN residual: BF16 residual add column=8"
17,18,"MEM.E.Read","prefill FFN residual: residual lhs column=11"
17,18,"MEM.E.Read","prefill FFN residual: residual rhs column=11"
17,18,"MEM.E.Read","prefill FFN residual: residual lhs column=11"
17,18,"MEM.E.Read","prefill FFN residual: residual rhs column=11"
17,18,"MEM.E.Write","prefill FFN residual: residual write column=6"
17,18,"MEM.E.Write","prefill FFN residual: residual write column=6"
17,18,"VXM.ALU0","prefill FFN residual: BF16 residual add column=9"
18,19,"MEM.E.Read","prefill FFN residual: residual lhs column=12"
18,19,"MEM.E.Read","prefill FFN residual: residual rhs column=12"
18,19,"MEM.E.Read","prefill FFN residual: residual lhs column=12"
18,19,"MEM.E.Read","prefill FFN residual: residual rhs column=12"
18,19,"MEM.E.Write","prefill FFN residual: residual write column=7"
18,19,"MEM.E.Write","prefill FFN residual: residual write column=7"
18,19,"VXM.ALU0","prefill FFN residual: BF16 residual add column=10"
19,20,"MEM.E.Read","prefill FFN residual: residual lhs column=13"
19,20,"MEM.E.Read","prefill FFN residual: residual rhs column=13"
19,20,"MEM.E.Read","prefill FFN residual: residual lhs column=13"
19,20,"MEM.E.Read","prefill FFN residual: residual rhs column=13"
19,20,"MEM.E.Write","prefill FFN residual: residual write column=8"
19,20,"MEM.E.Write","prefill FFN residual: residual write column=8"
19,20,"VXM.ALU0","prefill FFN residual: BF16 residual add column=11"
20,21,"MEM.E.Read","prefill FFN residual: residual lhs column=14"
20,21,"MEM.E.Read","prefill FFN residual: residual rhs column=14"
20,21,"MEM.E.Read","prefill FFN residual: residual lhs column=14"
20,21,"MEM.E.Read","prefill FFN residual: residual rhs column=14"
20,21,"MEM.E.Write","prefill FFN residual: residual write column=9"
20,21,"MEM.E.Write","prefill FFN residual: residual write column=9"
20,21,"VXM.ALU0","prefill FFN residual: BF16 residual add column=12"
21,22,"MEM.E.Read","prefill FFN residual: residual lhs column=15"
21,22,"MEM.E.Read","prefill FFN residual: residual rhs column=15"
21,22,"MEM.E.Read","prefill FFN residual: residual lhs column=15"
21,22,"MEM.E.Read","prefill FFN residual: residual rhs column=15"
21,22,"MEM.E.Write","prefill FFN residual: residual write column=10"
21,22,"MEM.E.Write","prefill FFN residual: residual write column=10"
21,22,"VXM.ALU0","prefill FFN residual: BF16 residual add column=13"
22,23,"MEM.E.Read","prefill FFN residual: residual lhs column=16"
22,23,"MEM.E.Read","prefill FFN residual: residual rhs column=16"
22,23,"MEM.E.Read","prefill FFN residual: residual lhs column=16"
22,23,"MEM.E.Read","prefill FFN residual: residual rhs column=16"
22,23,"MEM.E.Write","prefill FFN residual: residual write column=11"
22,23,"MEM.E.Write","prefill FFN residual: residual write column=11"
22,23,"VXM.ALU0","prefill FFN residual: BF16 residual add column=14"
23,24,"MEM.E.Read","prefill FFN residual: residual lhs column=17"
23,24,"MEM.E.Read","prefill FFN residual: residual rhs column=17"
23,24,"MEM.E.Read","prefill FFN residual: residual lhs column=17"
23,24,"MEM.E.Read","prefill FFN residual: residual rhs column=17"
23,24,"MEM.E.Write","prefill FFN residual: residual write column=12"
23,24,"MEM.E.Write","prefill FFN residual: residual write column=12"
23,24,"VXM.ALU0","prefill FFN residual: BF16 residual add column=15"
24,25,"MEM.E.Read","prefill FFN residual: residual lhs column=18"
24,25,"MEM.E.Read","prefill FFN residual: residual rhs column=18"
24,25,"MEM.E.Read","prefill FFN residual: residual lhs column=18"
24,25,"MEM.E.Read","prefill FFN residual: residual rhs column=18"
24,25,"MEM.E.Write","prefill FFN residual: residual write column=13"
