start,end,resource,detail
15,25,"KVCache.Load","K cache head=0 address=0 streams=0..15"
20,21,"VXM.ALU0","K cache head=0 address=0 slice=0"
20,21,"VXM.ALU1","K cache head=0 address=0 slice=1"
20,21,"VXM.ALU10","K cache head=0 address=0 slice=10"
20,21,"VXM.ALU11","K cache head=0 address=0 slice=11"
20,21,"VXM.ALU12","K cache head=0 address=0 slice=12"
20,21,"VXM.ALU13","K cache head=0 address=0 slice=13"
20,21,"VXM.ALU14","K cache head=0 address=0 slice=14"
20,21,"VXM.ALU15","K cache head=0 address=0 slice=15"
20,21,"VXM.ALU2","K cache head=0 address=0 slice=2"
20,21,"VXM.ALU3","K cache head=0 address=0 slice=3"
20,21,"VXM.ALU4","K cache head=0 address=0 slice=4"
20,21,"VXM.ALU5","K cache head=0 address=0 slice=5"
20,21,"VXM.ALU6","K cache head=0 address=0 slice=6"
20,21,"VXM.ALU7","K cache head=0 address=0 slice=7"
20,21,"VXM.ALU8","K cache head=0 address=0 slice=8"
20,21,"VXM.ALU9","K cache head=0 address=0 slice=9"
23,41,"KVCache.Load","K cache head=0 address=0 streams=16..31"
32,33,"VXM.ALU0","K cache head=0 address=0 slice=16"
32,33,"VXM.ALU1","K cache head=0 address=0 slice=17"
32,33,"VXM.ALU10","K cache head=0 address=0 slice=26"
32,33,"VXM.ALU11","K cache head=0 address=0 slice=27"
32,33,"VXM.ALU12","K cache head=0 address=0 slice=28"
32,33,"VXM.ALU13","K cache head=0 address=0 slice=29"
32,33,"VXM.ALU14","K cache head=0 address=0 slice=30"
32,33,"VXM.ALU15","K cache head=0 address=0 slice=31"
32,33,"VXM.ALU2","K cache head=0 address=0 slice=18"
32,33,"VXM.ALU3","K cache head=0 address=0 slice=19"
32,33,"VXM.ALU4","K cache head=0 address=0 slice=20"
32,33,"VXM.ALU5","K cache head=0 address=0 slice=21"
32,33,"VXM.ALU6","K cache head=0 address=0 slice=22"
32,33,"VXM.ALU7","K cache head=0 address=0 slice=23"
32,33,"VXM.ALU8","K cache head=0 address=0 slice=24"
32,33,"VXM.ALU9","K cache head=0 address=0 slice=25"
39,49,"KVCache.Load","K cache head=0 address=1 streams=0..15"
44,45,"VXM.ALU0","K cache head=0 address=1 slice=0"
44,45,"VXM.ALU1","K cache head=0 address=1 slice=1"
44,45,"VXM.ALU10","K cache head=0 address=1 slice=10"
44,45,"VXM.ALU11","K cache head=0 address=1 slice=11"
44,45,"VXM.ALU12","K cache head=0 address=1 slice=12"
44,45,"VXM.ALU13","K cache head=0 address=1 slice=13"
44,45,"VXM.ALU14","K cache head=0 address=1 slice=14"
44,45,"VXM.ALU15","K cache head=0 address=1 slice=15"
44,45,"VXM.ALU2","K cache head=0 address=1 slice=2"
44,45,"VXM.ALU3","K cache head=0 address=1 slice=3"
44,45,"VXM.ALU4","K cache head=0 address=1 slice=4"
44,45,"VXM.ALU5","K cache head=0 address=1 slice=5"
44,45,"VXM.ALU6","K cache head=0 address=1 slice=6"
44,45,"VXM.ALU7","K cache head=0 address=1 slice=7"
44,45,"VXM.ALU8","K cache head=0 address=1 slice=8"
44,45,"VXM.ALU9","K cache head=0 address=1 slice=9"
47,65,"KVCache.Load","K cache head=0 address=1 streams=16..31"
56,57,"VXM.ALU0","K cache head=0 address=1 slice=16"
56,57,"VXM.ALU1","K cache head=0 address=1 slice=17"
56,57,"VXM.ALU10","K cache head=0 address=1 slice=26"
56,57,"VXM.ALU11","K cache head=0 address=1 slice=27"
56,57,"VXM.ALU12","K cache head=0 address=1 slice=28"
56,57,"VXM.ALU13","K cache head=0 address=1 slice=29"
56,57,"VXM.ALU14","K cache head=0 address=1 slice=30"
56,57,"VXM.ALU15","K cache head=0 address=1 slice=31"
56,57,"VXM.ALU2","K cache head=0 address=1 slice=18"
56,57,"VXM.ALU3","K cache head=0 address=1 slice=19"
56,57,"VXM.ALU4","K cache head=0 address=1 slice=20"
56,57,"VXM.ALU5","K cache head=0 address=1 slice=21"
56,57,"VXM.ALU6","K cache head=0 address=1 slice=22"
56,57,"VXM.ALU7","K cache head=0 address=1 slice=23"
56,57,"VXM.ALU8","K cache head=0 address=1 slice=24"
56,57,"VXM.ALU9","K cache head=0 address=1 slice=25"
63,73,"KVCache.Load","K cache head=0 address=2 streams=0..15"
68,69,"VXM.ALU0","K cache head=0 address=2 slice=0"
68,69,"VXM.ALU1","K cache head=0 address=2 slice=1"
68,69,"VXM.ALU10","K cache head=0 address=2 slice=10"
68,69,"VXM.ALU11","K cache head=0 address=2 slice=11"
68,69,"VXM.ALU12","K cache head=0 address=2 slice=12"
68,69,"VXM.ALU13","K cache head=0 address=2 slice=13"
68,69,"VXM.ALU14","K cache head=0 address=2 slice=14"
68,69,"VXM.ALU15","K cache head=0 address=2 slice=15"
68,69,"VXM.ALU2","K cache head=0 address=2 slice=2"
68,69,"VXM.ALU3","K cache head=0 address=2 slice=3"
68,69,"VXM.ALU4","K cache head=0 address=2 slice=4"
68,69,"VXM.ALU5","K cache head=0 address=2 slice=5"
68,69,"VXM.ALU6","K cache head=0 address=2 slice=6"
68,69,"VXM.ALU7","K cache head=0 address=2 slice=7"
68,69,"VXM.ALU8","K cache head=0 address=2 slice=8"
68,69,"VXM.ALU9","K cache head=0 address=2 slice=9"
71,89,"KVCache.Load","K cache head=0 address=2 streams=16..31"
80,81,"VXM.ALU0","K cache head=0 address=2 slice=16"
80,81,"VXM.ALU1","K cache head=0 address=2 slice=17"
80,81,"VXM.ALU10","K cache head=0 address=2 slice=26"
80,81,"VXM.ALU11","K cache head=0 address=2 slice=27"
80,81,"VXM.ALU12","K cache head=0 address=2 slice=28"
80,81,"VXM.ALU13","K cache head=0 address=2 slice=29"
80,81,"VXM.ALU14","K cache head=0 address=2 slice=30"
80,81,"VXM.ALU15","K cache head=0 address=2 slice=31"
80,81,"VXM.ALU2","K cache head=0 address=2 slice=18"
80,81,"VXM.ALU3","K cache head=0 address=2 slice=19"
80,81,"VXM.ALU4","K cache head=0 address=2 slice=20"
