start,end,resource,detail
19,77,"MEM.E.Read","gate streamed INT8 weights reduction=0"
19,77,"MEM.W.Read","up streamed INT8 weights reduction=0"
30,31,"MXM.E0.ActivationLoad","gate activation block=0"
30,31,"MXM.W0.ActivationLoad","up activation block=0"
34,82,"MXM.E0.Compute","gate decode waves reduction=0 dst=sram"
34,82,"MXM.W0.Compute","up decode waves reduction=0 dst=sram"
82,140,"MEM.E.Read","gate streamed INT8 weights reduction=1"
82,140,"MEM.W.Read","up streamed INT8 weights reduction=1"
93,94,"MXM.E0.ActivationLoad","gate activation block=1"
93,94,"MXM.W0.ActivationLoad","up activation block=1"
97,145,"MXM.E0.Compute","gate decode waves reduction=1 dst=sram"
97,145,"MXM.W0.Compute","up decode waves reduction=1 dst=sram"
145,203,"MEM.E.Read","gate streamed INT8 weights reduction=2"
145,203,"MEM.W.Read","up streamed INT8 weights reduction=2"
156,157,"MXM.E0.ActivationLoad","gate activation block=2"
156,157,"MXM.W0.ActivationLoad","up activation block=2"
160,208,"MXM.E0.Compute","gate decode waves reduction=2 dst=sram"
160,208,"MXM.W0.Compute","up decode waves reduction=2 dst=sram"
208,266,"MEM.E.Read","gate streamed INT8 weights reduction=3"
208,266,"MEM.W.Read","up streamed INT8 weights reduction=3"
219,220,"MXM.E0.ActivationLoad","gate activation block=3"
219,220,"MXM.W0.ActivationLoad","up activation block=3"
223,271,"MXM.E0.Compute","gate decode waves reduction=3 dst=sram"
223,271,"MXM.W0.Compute","up decode waves reduction=3 dst=sram"
271,329,"MEM.E.Read","gate streamed INT8 weights reduction=4"
271,329,"MEM.W.Read","up streamed INT8 weights reduction=4"
282,283,"MXM.E0.ActivationLoad","gate activation block=4"
282,283,"MXM.W0.ActivationLoad","up activation block=4"
286,334,"MXM.E0.Compute","gate decode waves reduction=4 dst=sram"
286,334,"MXM.W0.Compute","up decode waves reduction=4 dst=sram"
334,392,"MEM.E.Read","gate streamed INT8 weights reduction=5"
334,392,"MEM.W.Read","up streamed INT8 weights reduction=5"
345,346,"MXM.E0.ActivationLoad","gate activation block=5"
345,346,"MXM.W0.ActivationLoad","up activation block=5"
349,397,"MXM.E0.Compute","gate decode waves reduction=5 dst=sram"
349,397,"MXM.W0.Compute","up decode waves reduction=5 dst=sram"
397,455,"MEM.E.Read","gate streamed INT8 weights reduction=6"
397,455,"MEM.W.Read","up streamed INT8 weights reduction=6"
408,409,"MXM.E0.ActivationLoad","gate activation block=6"
408,409,"MXM.W0.ActivationLoad","up activation block=6"
412,460,"MXM.E0.Compute","gate decode waves reduction=6 dst=sram"
412,460,"MXM.W0.Compute","up decode waves reduction=6 dst=sram"
460,518,"MEM.E.Read","gate streamed INT8 weights reduction=7"
460,518,"MEM.W.Read","up streamed INT8 weights reduction=7"
471,472,"MXM.E0.ActivationLoad","gate activation block=7"
471,472,"MXM.W0.ActivationLoad","up activation block=7"
475,523,"MXM.E0.Compute","gate decode waves reduction=7 dst=sram"
475,523,"MXM.W0.Compute","up decode waves reduction=7 dst=sram"
523,581,"MEM.E.Read","gate streamed INT8 weights reduction=8"
523,581,"MEM.W.Read","up streamed INT8 weights reduction=8"
534,535,"MXM.E0.ActivationLoad","gate activation block=8"
534,535,"MXM.W0.ActivationLoad","up activation block=8"
538,586,"MXM.E0.Compute","gate decode waves reduction=8 dst=sram"
538,586,"MXM.W0.Compute","up decode waves reduction=8 dst=sram"
586,644,"MEM.E.Read","gate streamed INT8 weights reduction=9"
586,644,"MEM.W.Read","up streamed INT8 weights reduction=9"
597,598,"MXM.E0.ActivationLoad","gate activation block=9"
597,598,"MXM.W0.ActivationLoad","up activation block=9"
601,649,"MXM.E0.Compute","gate decode waves reduction=9 dst=sram"
601,649,"MXM.W0.Compute","up decode waves reduction=9 dst=sram"
649,707,"MEM.E.Read","gate streamed INT8 weights reduction=10"
649,707,"MEM.W.Read","up streamed INT8 weights reduction=10"
660,661,"MXM.E0.ActivationLoad","gate activation block=10"
660,661,"MXM.W0.ActivationLoad","up activation block=10"
664,712,"MXM.E0.Compute","gate decode waves reduction=10 dst=sram"
664,712,"MXM.W0.Compute","up decode waves reduction=10 dst=sram"
712,770,"MEM.E.Read","gate streamed INT8 weights reduction=11"
712,770,"MEM.W.Read","up streamed INT8 weights reduction=11"
